observableId	observableName	observableFormula	noiseFormula_off	observableTransformation	noiseDistribution	noiseFormula_off	noiseFormula
obs_cycA__nuc_median		oCCNA + sCCNA * (_Nuc__CCNA_CDKN1A_B_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Nuc__CCNA_CDKN1A_B_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_) * noiseParameter1_obs_cycA__nuc_median	noiseParameter1 + noiseParameter2 * (obs_cycA__nuc_median) * noiseParameter1_obs_cycA__nuc_median
obs_cycB1__nuc_median		oCCNB + sCCNB * (_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_ + _Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_ + _Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_ + _Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_ + _Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_) * noiseParameter1_obs_cycB1__nuc_median	noiseParameter1 + noiseParameter2 * (obs_cycB1__nuc_median) * noiseParameter1_obs_cycB1__nuc_median
obs_cycE__nuc_median		oCCNE + sCCNE * (_Nuc__CCNE_CDKN1A_B_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Nuc__CCNE_CDKN1A_B_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_) * noiseParameter1_obs_cycE__nuc_median	noiseParameter1 + noiseParameter2 * (obs_cycE__nuc_median) * noiseParameter1_obs_cycE__nuc_median
obs_E2F1__nuc_median		oE2F + sE2F * (_Nuc__E2F_DBD_RB1_Ser332u_ + _Nuc__E2F_DBD_RB1_Ser332p_ + _Nuc__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_ + _Nuc__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_ + _Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _Nuc__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _Nuc__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_ + _Nuc__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_ + _Nuc__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Nuc__E2F_DBD_RB1_Ser332u_ + _Nuc__E2F_DBD_RB1_Ser332p_ + _Nuc__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_ + _Nuc__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_ + _Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _Nuc__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _Nuc__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_ + _Nuc__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_ + _Nuc__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_) * noiseParameter1_obs_E2F1__nuc_median	noiseParameter1 + noiseParameter2 * (obs_E2F1__nuc_median) * noiseParameter1_obs_E2F1__nuc_median
obs_pRB__nuc_median		oRB1_pSer807Ser811 + sRB1_pSer807Ser811 * (_Nuc__RB1_E2F_Ser807_Ser811p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * _Nuc__RB1_E2F_Ser807_Ser811p_ * noiseParameter1_obs_pRB__nuc_median	noiseParameter1 + noiseParameter2 * obs_pRB__nuc_median * noiseParameter1_obs_pRB__nuc_median
obs_Skp2__nuc_median		oSKP2 + sSKP2 * _Nuc__SKP2	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * _Nuc__SKP2 * noiseParameter1_obs_Skp2__nuc_median	noiseParameter1 + noiseParameter2 * obs_Skp2__nuc_median * noiseParameter1_obs_Skp2__nuc_median
obs_p21__nuc_median		oCDKN1A + sCDKN1A * (_Nuc__CDKN1A_CCNE_A_B_Ser130u_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CDKN1A_CCNE_A_B_Ser130p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Nuc__CDKN1A_CCNE_A_B_Ser130u_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Nuc__CDKN1A_CCNE_A_B_Ser130p_) * noiseParameter1_obs_p21__nuc_median	noiseParameter1 + noiseParameter2 * (obs_p21__nuc_median) * noiseParameter1_obs_p21__nuc_median
obs_p27__nuc_median		oCDKN1B + sCDKN1B * (_Nuc__CDKN1B_CCNE_A_Thr187u_ +  _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CDKN1B_CCNE_A_Thr187p_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Nuc__CDKN1B_CCNE_A_Thr187u_ +  _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Nuc__CDKN1B_CCNE_A_Thr187p_ + _Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_ + _Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_) * noiseParameter1_obs_p27__nuc_median	noiseParameter1 + noiseParameter2 * (obs_p27__nuc_median) * noiseParameter1_obs_p27__nuc_median
obs_cycA__cyt_median		oCCNA + sCCNA * (_Cyt__CCNA_CDKN1A_B_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Cyt__CCNA_CDKN1A_B_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_) * noiseParameter1_obs_cycA__cyt_median	noiseParameter1 + noiseParameter2 * (obs_cycA__cyt_median) * noiseParameter1_obs_cycA__cyt_median
obs_cycB1__cyt_median		oCCNB + sCCNB * (_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_ + _Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_ + _Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_ + _Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_ + _Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_) * noiseParameter1_obs_cycB1__cyt_median	noiseParameter1 + noiseParameter2 * (obs_cycB1__cyt_median) * noiseParameter1_obs_cycB1__cyt_median
obs_cycE__cyt_median		oCCNE + sCCNE * (_Cyt__CCNE_CDKN1A_B_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Cyt__CCNE_CDKN1A_B_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_) * noiseParameter1_obs_cycE__cyt_median	noiseParameter1 + noiseParameter2 * (obs_cycE__cyt_median) * noiseParameter1_obs_cycE__cyt_median
obs_E2F1__cyt_median		oE2F + sE2F * (_Cyt__E2F_DBD_RB1_Ser332u_ + _Cyt__E2F_DBD_RB1_Ser332p_ + _Cyt__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_ + _Cyt__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Cyt__E2F_DBD_RB1_Ser332u_ + _Cyt__E2F_DBD_RB1_Ser332p_ + _Cyt__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_ + _Cyt__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_) * noiseParameter1_obs_E2F1__cyt_median	noiseParameter1 + noiseParameter2 * (obs_E2F1__cyt_median) * noiseParameter1_obs_E2F1__cyt_median
obs_pRB__cyt_median		oRB1_pSer807Ser811 + sRB1_pSer807Ser811 * (_Cyt__RB1_E2F_Ser807_Ser811p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * _Cyt__RB1_E2F_Ser807_Ser811p_ * noiseParameter1_obs_pRB__cyt_median	noiseParameter1 + noiseParameter2 * obs_pRB__cyt_median * noiseParameter1_obs_pRB__cyt_median
obs_Skp2__cyt_median		oSKP2 + sSKP2 * _Cyt__SKP2	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * _Cyt__SKP2 * noiseParameter1_obs_Skp2__cyt_median	noiseParameter1 + noiseParameter2 * obs_Skp2__cyt_median * noiseParameter1_obs_Skp2__cyt_median
obs_p21__cyt_median		oCDKN1A + sCDKN1A * (_Cyt__CDKN1A_CCNE_A_B_Ser130u_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CDKN1A_CCNE_A_B_Ser130p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Cyt__CDKN1A_CCNE_A_B_Ser130u_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _Cyt__CDKN1A_CCNE_A_B_Ser130p_) * noiseParameter1_obs_p21__cyt_median	noiseParameter1 + noiseParameter2 * (obs_p21__cyt_median) * noiseParameter1_obs_p21__cyt_median
obs_p27__cyt_median		oCDKN1B + sCDKN1B * (_Cyt__CDKN1B_CCNE_A_Thr187u_ +  _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CDKN1B_CCNE_A_Thr187p_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal	noiseParameter1 + noiseParameter2 * (_Cyt__CDKN1B_CCNE_A_Thr187u_ +  _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _Cyt__CDKN1B_CCNE_A_Thr187p_ + _Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_ + _Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_) * noiseParameter1_obs_p27__cyt_median	noiseParameter1 + noiseParameter2 * (obs_p27__cyt_median) * noiseParameter1_obs_p27__cyt_median
